aalib 1.4rc5-14
neofetch 7.1.0-2
neon 0.32.2-1
nettle 3.7.3-1
networkmanager 1.36.4-1
node-gyp 9.0.0-1
nodejs 18.1.0-1
nodejs-nopt 5.0.0-2
npm 8.5.5-1
npth 1.6-3
nspr 4.33-2
nss 3.78-1
numactl 2.0.14-2
numlockx 1.2-5
okular 22.04.0-1
openal 1.22.0-1
openbsd-netcat 1.218_5-1
opencore-amr 0.1.5-5
openjpeg2 2.4.0-1
openmpi 4.1.2-1
openssh 9.0p1-1
openssl 1.1.1.o-1
opus 1.3.1-3
orc 0.4.32-1
osinfo-db 20220214-1
otf-ipafont 003.03-8
p11-kit 0.24.1-1
pacman 6.0.1-4
pacman-mirrorlist 20220501-1
pam 1.5.2-1
pambase 20211210-1
pango 1:1.50.7-1
pangomm 2.46.2-1
parted 3.5-1
paru 1.10.0-1
patch 2.7.6-8
pavucontrol 1:5.0+r35+g964f298-1
pciutils 3.8.0-1
pcmanfm 1.3.2-1
pcre 8.45-1
pcre2 10.40-1
perl 5.34.1-1
perl-error 0.17029-3
perl-mailtools 2.21-5
perl-timedate 2.33-3
phodav 2.5-2
phonon-qt5 4.11.1-3
phonon-qt5-gstreamer 4.10.0-3
picom 9.1-3
pinentry 1.2.0-1
pipewire 1:0.3.51-1
pipewire-alsa 1:0.3.51-1
pipewire-jack 1:0.3.51-1
pipewire-pulse 1:0.3.51-1
pixman 0.40.0-1
pkgconf 1.8.0-1
polkit 0.120-5
polkit-qt5 0.114.0-1
poppler 22.05.0-1
poppler-glib 22.05.0-1
poppler-qt5 22.05.0-1
popt 1.18-3
procps-ng 3.3.17-1
psmisc 23.4-1
purpose 5.93.0-1
python 3.10.4-1
python-appdirs 1.4.4-6
python-attrs 21.4.0-1
python-autobahn 22.3.2-1
python-automat 20.2.0-9
python-cairo 1.21.0-1
python-cffi 1.15.0-3
python-chardet 4.0.0-5
python-click 8.1.3-1
python-constantly 15.1.0-11
python-cryptography 36.0.2-1
python-gobject 3.42.1-1
python-hkdf 0.0.3-9
python-humanize 3.1.0-5
python-hyperlink 21.0.0-4
python-idna 3.3-4
python-incremental 21.3.0-5
python-more-itertools 8.12.0-2
python-ordered-set 4.0.2-6
python-packaging 21.3-1
python-ply 3.11-10
python-pyasn1 0.4.8-7
python-pyasn1-modules 0.2.8-6
python-pycparser 2.21-3
python-pynacl 1.4.0-5
python-pyopenssl 22.0.0-1
python-pyparsing 3.0.8-1
python-requests 2.27.1-1
python-service-identity 21.1.0-4
python-setuptools 1:59.6.0-1
python-six 1.16.0-5
python-spake2 0.8-10
python-tqdm 4.64.0-1
python-twisted 21.7.0-4
python-txaio 22.2.1-1
python-txtorcon 22.0.0-1
python-typing_extensions 4.2.0-1
python-urllib3 1.26.9-1
python-wsaccel 0.6.3-4
python-zope-interface 5.4.0-4
qemu-audio-alsa 7.0.0-9
qemu-audio-dbus 7.0.0-9
qemu-audio-jack 7.0.0-9
qemu-audio-oss 7.0.0-9
qemu-audio-pa 7.0.0-9
qemu-audio-sdl 7.0.0-9
qemu-audio-spice 7.0.0-9
qemu-block-curl 7.0.0-9
qemu-block-dmg 7.0.0-9
